season,date,location,name,timeOnIceM,goals,passes,shots,carries,takeaways
2024-2025,2024-09-28,Oxford,Cross ice,9,0,0,1,3,0
2024-2025,2024-10-01,Bristol,Cross ice,24,0,0,1,2,1
2024-2025,2024-10-20,Swindon,Cross ice,24,0,0,3,0,4
2024-2025,2024-10-26,Swindon,Cross ice,27,0,0,6,6,5
2024-2025,2024-11-02,Swindon,Cross ice,27,0,0,1,2,2
2024-2025,2024-11-16,Cardiff,Cross ice,24,0,1,0,3,4
2024-2025,2024-11-17,Solent,Cross ice,24,0,4,3,0,11
2024-2025,2024-11-23,Solent,Cross ice,24,0,1,1,2,6
2024-2025,2025-01-12,Guildford,Cross ice,24,0,0,0,0,6
2024-2025,2025-02-22,Oxford,Cross ice,18,0,3,2,3,5
2024-2025,2025-03-01,Cardiff,Cross ice,18,0,2,2,1,4
2024-2025,2025-03-30,Bristol,Cross ice,24,1,0,2,4,2
2024-2025,2025-04-12,Slough,Cross ice,24,0,2,2,5,5
2024-2025,2025-04-27,Cardiff,Cross ice,24,0,2,0,4,9
2024-2025,2025-05-10,Bristol,Cross ice,24,1,3,2,11,5
2024-2025,2025-05-11,Slough,Cross ice,24,1,2,4,7,1
2024-2025,2025-05-18,Slough,Cross ice,24,1,2,1,8,13
